,Region,Country_Code,Country_or_area,City_Code,City,data_sources_UN,City_Definition,Latitude,Longitude,year,population
22,Africa,854,Burkina Faso,23192,Ouagadougou,"Censuses of 1951, 1960, 1975, 1985, 1996 and 2006; Estimate for 2015; Sample Survey of 1968.",City Proper,12.36423,-1.53834,1950,33.035
23,Africa,108,Burundi,20340,Bujumbura,"Censuses of 1979, 1990 and 2008; Estimates for 1970 and 2003; Register of 1950; Sample Survey of 1965.",City Proper,-3.3822,29.3644,1950,18.825
24,Africa,120,Cameroon,20360,Bafoussam,"Censuses of 1976, 1987 and 2005; Estimates for 1965 and 1970.",City Proper,5.47366,10.41786,1950,10.095
25,Africa,120,Cameroon,20361,Bamenda,"Censuses of 1976, 1987 and 2005; Estimates for 1965 and 1970.",City Proper,5.95266,10.15824,1950,9.427
26,Africa,120,Cameroon,20362,Douala,"Censuses of 1955, 1976, 1987 and 2005; Sample Survey of 1964.",Urban Agglomeration,4.04827,9.70428,1950,94.769
27,Africa,120,Cameroon,20363,Garoua,"Censuses of 1976 and 1987; Estimates for 1965, 1970 and 2005.",City Proper,9.3,13.4,1950,7.289
28,Africa,120,Cameroon,204222,Loum,Censuses of 1976 and 1987.,City Proper,4.7182,9.7351,1950,4.802
29,Africa,120,Cameroon,204228,Mbouda,Censuses of 1976 and 1987; Estimates for 1965 and 1970.,City Proper,5.62578,10.25517,1950,4.552
30,Africa,120,Cameroon,20365,Yaoundé,"Censuses of 1957, 1976, 1987 and 2005; Estimate for 1969; Sample Survey of 1962 and 1964.",Urban Agglomeration,3.86667,11.51667,1950,31.644
31,Africa,140,Central African Republic,20410,Bangui,"Censuses of 1955, 1964, 1975, 1988 and 2003; Estimate for 1966; Sample Survey of 1960.",Urban Agglomeration,4.36122,18.55496,1950,42.202
32,Africa,148,Chad,20420,N'Djaména,"Censuses of 1962, 1993 and 2009; Estimates for 1972 and 1978; Sample Survey of 1964.",City Proper,12.10672,15.0444,1950,24.604
33,Africa,178,Congo,20848,Brazzaville,"Censuses of 1955, 1961, 1974, 1984, 1996 and 2007; Estimate for 1950.",City Proper,-4.26583,15.28318,1950,83.39
34,Africa,178,Congo,20849,Pointe-Noire,"Censuses of 1958, 1974, 1984, 1996 and 2007; Sample Survey of 1962.",City Proper,-4.77609,11.86352,1950,16.322
35,Africa,384,Côte d'Ivoire,21602,Abidjan,"Censuses of 1950, 1955, 1975, 1988, 1998 and 2014; Sample Survey of 1963 and 1978.",City Proper,5.345339,-4.026789,1950,65
36,Africa,384,Côte d'Ivoire,21603,Bouake,"Censuses of 1958, 1975, 1988, 1998 and 2014; Estimate for 1965; Register of 1955; Sample Survey of 1961.",City Proper,7.69385,-5.03031,1950,31.473
37,Africa,180,Democratic Republic of the Congo,20850,Bukavu,"Census of 1984; Estimates for 1950, 1956, 1970 and 2004.",City Proper,-2.50833,28.86083,1950,16.296
38,Africa,180,Democratic Republic of the Congo,205455,Bunia,"Census of 1984; Estimates for 1959, 1970 and 2004.",City Proper,1.566666667,30.25,1950,6.223
39,Africa,180,Democratic Republic of the Congo,205453,Goma,"Census of 1984; Estimates for 1959, 1970 and 2004.",City Proper,-1.679166667,29.22277778,1950,5.123
40,Africa,180,Democratic Republic of the Congo,205460,Kabinda,Census of 1984; Estimate for 2004.,City Proper,-6.13791,24.48179,1950,1.547
41,Africa,180,Democratic Republic of the Congo,20851,Kananga,Censuses of 1956 and 1984; Estimate for 2004.,City Proper,-5.89624,22.41659,1950,26.934
42,Africa,180,Democratic Republic of the Congo,20852,Kikwit,"Censuses of 1956 and 1984; Estimates for 1950, 1960, 1970 and 2004.",City Proper,-5.04098,18.81619,1950,4.997
43,Africa,180,Democratic Republic of the Congo,20853,Kinshasa,Census of 1984; Estimates for 1998 and 2004; Register of 1950 and 1958; Sample Survey of 1967.,Urban Agglomeration,-4.32758,15.31357,1950,201.905
44,Africa,180,Democratic Republic of the Congo,20854,Kisangani,"Census of 1984; Estimates for 1950, 1956, 1960, 1970 and 2004.",City Proper,0.51667,25.2,1950,38.299
45,Africa,180,Democratic Republic of the Congo,23555,Kolwezi,"Census of 1984; Estimates for 1959, 1970 and 2004.",City Proper,-10.71484,25.46674,1950,31.177
46,Africa,180,Democratic Republic of the Congo,20855,Likasi,"Censuses of 1956 and 1984; Estimates for 1950, 1960, 1966, 1970 and 2004.",City Proper,-10.98139,26.73333,1950,48.447
47,Africa,180,Democratic Republic of the Congo,20856,Lubumbashi,"Censuses of 1956 and 1984; Estimates for 1950, 1960, 1970 and 2004.",City Proper,-11.66089,27.47938,1950,96.112
48,Africa,180,Democratic Republic of the Congo,20857,Matadi,"Census of 1984; Estimates for 1950, 1955, 1960, 1970 and 2004.",City Proper,-5.8177,13.4717,1950,59.672
49,Africa,180,Democratic Republic of the Congo,20858,Mbandaka,"Censuses of 1956 and 1984; Estimates for 1950, 1960, 1970 and 2004.",City Proper,0.04865,18.26034,1950,17.945
50,Africa,180,Democratic Republic of the Congo,20859,Mbuji-Mayi,"Census of 1984; Estimates for 1960, 1970 and 2004.",City Proper,-6.15,23.6,1950,67.641
51,Africa,180,Democratic Republic of the Congo,204243,Tshikapa,Censuses of 1970 and 1984; Estimate for 2004.,City Proper,-6.41621,20.79995,1950,8.167
52,Africa,180,Democratic Republic of the Congo,205454,Uvira,Census of 1984; Estimates for 1970 and 2004.,City Proper,-3.39534,29.13779,1950,1.753
53,Africa,262,Djibouti,21005,Djibouti,"Censuses of 1960, 1983 and 2009; Estimates for 1957 and 1970; Sample Survey of 1991.",Urban Agglomeration,11.58767,43.14468,1950,19.96
54,Africa,818,Egypt,22814,Al-Fayyum,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,29.30995,30.8418,1950,62.905
55,Africa,818,Egypt,22804,Al-Iskandariyah (Alexandria),"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,31.192471,29.904596,1950,1037.462
56,Africa,818,Egypt,22815,Al-Ismailiyah,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,30.60427,32.27225,1950,77.633
57,Africa,818,Egypt,22806,Al-Mahallah al-Kubra,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,30.9745,31.16499,1950,128.518
58,Africa,818,Egypt,22819,Al-Mansurah,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,31.03637,31.38069,1950,112.169
59,Africa,818,Egypt,22812,Al-Qahirah (Cairo),"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",Metropolitan area,30.039173,31.239411,1950,2493.514
60,Africa,818,Egypt,22827,As-Suways,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,29.968133,32.547497,1950,125.252
61,Africa,818,Egypt,22808,Aswan,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,24.09343,32.90704,1950,33.241
62,Africa,818,Egypt,22807,Asyut,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,27.18096,31.18368,1950,98.001
63,Africa,818,Egypt,22829,Az-Zaqazig,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,30.5875,31.50194444,1950,90.553
64,Africa,818,Egypt,22823,Bur Sa'id,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,31.25654,32.28412,1950,192.132
65,Africa,818,Egypt,22816,Kafr-ad-Dawwar,"Censuses of 1976, 1986 and 1996.",City Proper,31.13385,30.12843,1950,23.676
66,Africa,818,Egypt,22828,Tanta,"Censuses of 1960, 1966, 1976, 1986, 1996 and 2006.",City Proper,30.787176,30.999539,1950,149.576
67,Africa,226,Equatorial Guinea,20919,Bata,"Censuses of 1950, 1960, 1983, 1994, 2001 and 2015.",Urban Agglomeration,1.86391,9.76582,1950,10.897
68,Africa,232,Eritrea,20931,Asmara,"Census of 1984; Estimates for 1950, 1967, 1990, 1997, 2002 and 2006.",City Proper,15.33333,38.93333,1950,67.26
69,Africa,231,Ethiopia,20921,Addis Ababa,"Censuses of 1984, 1994 and 2007; Estimates for 1950, 1967 and 2017.",City Proper,9.02497,38.74689,1950,392
70,Africa,231,Ethiopia,20925,Dire Dawa,"Censuses of 1984, 1994 and 2007; Estimate for 2017.",City Proper,9.59306,41.86611,1950,18.176
71,Africa,231,Ethiopia,20926,Gondar,"Censuses of 1984, 1994 and 2007; Estimates for 1999, 2001, 2002 and 2017.",City Proper,12.6,37.46667,1950,27.9
72,Africa,231,Ethiopia,20929,Mekele,"Censuses of 1984, 1994 and 2007; Estimate for 2017; UN Estimate for 2015.",City Proper,13.49667,39.47528,1950,14.107
73,Africa,231,Ethiopia,20930,Nazret,"Censuses of 1984, 1994 and 2007; Estimate for 2013.",City Proper,8.540869,39.271569,1950,14.257
74,Africa,266,Gabon,21006,Libreville,"Censuses of 1958, 1961, 1969, 1993, 2003 and 2013; Estimates for 1967 and 1977; Register of 1951 and 1957; Sample Survey of 1964.",City Proper,0.3925,9.45365,1950,15.147
75,Africa,270,Gambia,21012,Banjul,"Censuses of 1951, 1963, 1973, 1983, 1993, 2003 and 2013; Estimate for 1967.",Urban Agglomeration,13.453099,-16.679433,1950,26.051
76,Africa,288,Ghana,21107,Accra,"Censuses of 1960, 1970, 1984, 2000 and 2010.",Metropolitan area,5.55602,-0.1969,1950,177.147
77,Africa,288,Ghana,21108,Kumasi,"Censuses of 1960, 1970, 1984, 2000 and 2010.",Metropolitan area,6.68848,-1.62443,1950,99.479
78,Africa,288,Ghana,21109,Sekondi Takoradi,"Censuses of 1960, 1970, 1984, 2000 and 2010.",Metropolitan area,4.934,-1.7137,1950,56.83
79,Africa,288,Ghana,21110,Tamale,"Censuses of 1960, 1970, 1984, 2000 and 2010.",City Proper,9.40078,-0.8393,1950,20.374
80,Africa,324,Guinea,21126,Conakry,"Censuses of 1951, 1960, 1983, 1996 and 2014; Estimate for 1972.",City Proper,9.571642,-13.647602,1950,31.339
81,Africa,624,Guinea-Bissau,22171,Bissau,"Censuses of 1950, 1960, 1979, 1991 and 2009.",City Proper,11.86357,-15.59767,1950,18.336
82,Africa,404,Kenya,21705,Eldoret,"Censuses of 1962, 1969, 1979, 1989, 1999 and 2009.",City Proper,0.52036,35.26992,1950,9.227
83,Africa,404,Kenya,21706,Kisumu,"Censuses of 1962, 1969, 1979, 1989, 1999 and 2009.",City Proper,-0.10221,34.76171,1950,12.103
84,Africa,404,Kenya,21708,Mombasa,"Censuses of 1962, 1969, 1979, 1989, 1999 and 2009.",City Proper,-4.05466,39.66359,1950,93.871
85,Africa,404,Kenya,21711,Nairobi,"Censuses of 1962, 1969, 1979, 1989, 1999 and 2009.",City Proper,-1.28333,36.81667,1950,137.456
86,Africa,404,Kenya,21712,Nakuru,"Censuses of 1962, 1969, 1979, 1989, 1999 and 2009.",City Proper,-0.28333,36.06667,1950,19.582
87,Africa,404,Kenya,204553,Ruiru,"Censuses of 1962, 1969, 1979, 1989, 1999 and 2009; UN Estimate for 2010.",City Proper,-1.15148,36.951878,1950,0.676
88,Africa,430,Liberia,21779,Monrovia,"Censuses of 1956, 1962, 1974, 1984 and 2008; Estimates for 1991, 1995, 1996, 1999 and 2004; UN Estimate for 2013.",Urban Agglomeration,6.30054,-10.7969,1950,35.15
89,Africa,434,Libya,21780,Banghazi,"Censuses of 1954, 1964, 1973, 1984, 1995 and 2006.",City Proper,32.11667,20.06667,1950,52.885
90,Africa,434,Libya,21781,Misratah,"Censuses of 1964, 1973 and 1984; Estimate for 2003; UN Estimate for 1954.",Urban Agglomeration,32.37535,15.09254,1950,15.58
91,Africa,434,Libya,21782,Tarabulus (Tripoli),"Censuses of 1954, 1964, 1973, 1995 and 2006.",City Proper,32.87519,13.18746,1950,105.876
92,Africa,450,Madagascar,21792,Antananarivo,"Censuses of 1975 and 1993; Estimates for 1952, 1955, 1959, 1971, 2001, 2005 and 2011; Sample Survey of 1966.",Urban Agglomeration,-18.91368,47.53613,1950,177.42
93,Africa,450,Madagascar,21793,Antsirabe,"Censuses of 1962, 1975 and 1993; Estimates for 1952, 2001, 2005, 2008 and 2011; Sample Survey of 1966.",City Proper,-19.8664,47.03347,1950,9.767
94,Africa,450,Madagascar,21796,Toamasina,"Censuses of 1971 and 1975; Estimates for 1952, 1966, 1993, 2001, 2005, 2008 and 2011; Sample Survey of 1960.",City Proper,-18.16667,49.38333,1950,33.794
95,Africa,454,Malawi,21798,Blantyre-Limbe,"Censuses of 1966, 1977, 1987, 1998 and 2008; Estimate for 1956.",City Proper,-15.78499,35.00854,1950,13.999
96,Africa,454,Malawi,21799,Lilongwe,"Censuses of 1966, 1977, 1987, 1998 and 2008; Estimate for 1956.",City Proper,-13.96692,33.78725,1950,3.909
97,Africa,466,Mali,21818,Bamako,"Censuses of 1951, 1965, 1976, 1987, 1998 and 2009; Estimates for 1960, 1968 and 2015.",City Proper,12.65,-8,1950,88.625
98,Africa,466,Mali,23401,Sikasso,"Censuses of 1976, 1987, 1998 and 2009; Sample Survey of 1960.",City Proper,11.3135,-5.6697,1950,15.695
99,Africa,478,Mauritania,21821,Nouakchott,"Censuses of 1961, 1964, 1977, 1988, 2000 and 2013; Estimate for 1957.",City Proper,18.08581,-15.9785,1950,2.695
100,Africa,504,Morocco,21888,Agadir,"Censuses of 1960, 1971, 1982, 1994, 2004 and 2014.",Urban Agglomeration,30.424847,-9.593695,1950,10.68
101,Africa,504,Morocco,21891,Dar-el-Beida (Casablanca),"Censuses of 1960, 1971, 1982, 1994, 2004 and 2014; Estimate for 1952.",Urban Agglomeration,33.59278,-7.61916,1950,625.435
102,Africa,504,Morocco,21893,Fès,"Censuses of 1971, 1982, 1994, 2004 and 2014; Estimates for 1952 and 1960.",Urban Agglomeration,34.03715,-4.9998,1950,164.588
103,Africa,504,Morocco,21894,Kénitra,"Censuses of 1960, 1971, 1982, 1994, 2004 and 2014.",City Proper,34.26101,-6.5802,1950,62.233
104,Africa,504,Morocco,21896,Marrakech,"Censuses of 1960, 1971, 1982, 1994, 2004 and 2014; Estimate for 1952.",City Proper,31.63148,-8.00828,1950,208.836
105,Africa,504,Morocco,21897,Meknès,"Censuses of 1960, 1971, 1982, 1994, 2004 and 2014; Estimate for 1952.",City Proper,33.89352,-5.54727,1950,142.866
106,Africa,504,Morocco,21898,Oujda,"Censuses of 1960, 1971, 1982, 1994, 2004 and 2014; Estimate for 1952.",City Proper,34.68052,-1.90764,1950,74.01
107,Africa,504,Morocco,21899,Rabat,"Censuses of 1952, 1960, 1971, 1982, 1994, 2004 and 2014.",Urban Agglomeration,34.01325,-6.83255,1950,145.108
108,Africa,504,Morocco,21900,Safi,"Censuses of 1960, 1971, 1982, 1994, 2004 and 2014; Estimate for 1952.",City Proper,32.29939,-9.23718,1950,51.881
109,Africa,504,Morocco,21903,Tanger,"Censuses of 1960, 1971, 1982, 1994, 2004 and 2014; Estimate for 1952.",Urban Agglomeration,35.784722,-5.812778,1950,99.582
110,Africa,504,Morocco,21905,Tétouan,"Censuses of 1960, 1971, 1982, 1994, 2004 and 2014; Estimate for 1952.",City Proper,35.57109,-5.37242,1950,77.397
111,Africa,508,Mozambique,21906,Beira,"Censuses of 1950, 1960, 1970, 1980, 1997, 2007 and 2017.",City Proper,-19.84361,34.83889,1950,42.265
112,Africa,508,Mozambique,21907,Chimoio,"Censuses of 1960, 1980, 1997, 2007 and 2017.",City Proper,-19.11639,33.48333,1950,26.386
113,Africa,508,Mozambique,21910,Maputo,"Censuses of 1950, 1960, 1970, 1980, 1997, 2007 and 2017.",City Proper,-25.96528,32.58917,1950,91.852
114,Africa,508,Mozambique,21911,Matola,"Censuses of 1960, 1980, 1997, 2007 and 2017; UN Estimate for 2018.",City Proper,-25.96222,32.45889,1950,5.792
115,Africa,508,Mozambique,21914,Nampula,"Censuses of 1950, 1960, 1970, 1980, 1997, 2007 and 2017.",City Proper,-15.11646,39.2666,1950,82.926
116,Africa,508,Mozambique,21916,Quelimane,"Censuses of 1960, 1970, 1980, 1997, 2007 and 2017.",City Proper,-17.87861,36.88833,1950,57.399
117,Africa,508,Mozambique,21917,Tete,"Censuses of 1960, 1970, 1980, 1997, 2007 and 2017.",City Proper,-16.15639,33.58667,1950,28.342
118,Africa,516,Namibia,21925,Windhoek,"Censuses of 1951, 1960, 1970, 1981, 1991, 2001 and 2011.",Urban Agglomeration,-22.55941,17.08323,1950,19.46
119,Africa,562,Niger,21972,Niamey,"Censuses of 1977, 1988, 2001 and 2012; Estimates for 1962 and 1966.",City Proper,13.51366,2.1098,1950,24.37
120,Africa,562,Niger,21973,Zinder,"Censuses of 1977, 1988, 2001 and 2012; Estimates for 1956, 1959 and 1962.",City Proper,13.80716,8.9881,1950,12.466
121,Africa,566,Nigeria,21974,Aba,"Censuses of 1953, 1963, 1991 and 2006; UN Estimate for 1983.",Urban Agglomeration,5.10658,7.36667,1950,48.488
122,Africa,566,Nigeria,206382,Abakaliki,"Estimates for 1950, 1960, 1970, 1980, 1990, 2000 and 2010.",Urban Agglomeration,6.31625,8.11691,1950,9.215
123,Africa,566,Nigeria,21975,Abeokuta,"Censuses of 1953, 1963 and 1991; Estimate for 2010.",City Proper,7.15,3.35,1950,78.617
124,Africa,566,Nigeria,21976,Abuja,"Censuses of 1991 and 2006; UN Estimates for 1953, 1963 and 2013.",Urban Agglomeration,9.05735,7.48976,1950,18.977
125,Africa,566,Nigeria,21977,Ado-Ekiti,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,7.621,5.2215,1950,19.502
126,Africa,566,Nigeria,21978,Akure,"Censuses of 1953, 1963 and 1991; Estimate for 2010.",City Proper,7.25256,5.19312,1950,33.754
127,Africa,566,Nigeria,21980,Bauchi,Censuses of 1963 and 1991; Estimate for 2010.,Urban Agglomeration,10.31344,9.84327,1950,23.608
128,Africa,566,Nigeria,21981,Benin City,"Censuses of 1953, 1963, 1991 and 2006.",Urban Agglomeration,6.33504,5.62749,1950,49.148
129,Africa,566,Nigeria,206384,Birnin Kebbi,"Estimates for 1960, 1970, 1980, 1990, 2000 and 2010.",Urban Agglomeration,12.45389,4.1975,1950,11.183
130,Africa,566,Nigeria,21982,Calabar,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",Urban Agglomeration,4.9517,8.322,1950,43.743
131,Africa,566,Nigeria,21985,Effon Alaiye,Censuses of 1963 and 1991.,City Proper,7.65,4.91667,1950,44.515
132,Africa,566,Nigeria,21986,Enugu,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,6.4402,7.4943,1950,59.663
133,Africa,566,Nigeria,21987,Gboko,"Census of 1963; Estimates for 1950, 1960, 1970, 1980, 1990, 2000 and 2010.",City Proper,7.326835,9.003405,1950,5.13
134,Africa,566,Nigeria,21988,Gombe,Censuses of 1963 and 1991; Estimate for 2010.,City Proper,10.28969,11.16729,1950,26.21
135,Africa,566,Nigeria,206392,Gwagwalada,"Estimates for 1970, 1980, 1990, 2000 and 2010.",Urban Agglomeration,8.94139,7.09194,1950,3.488
136,Africa,566,Nigeria,21990,Ibadan,"Censuses of 1953, 1963, 1991 and 2006.",Urban Agglomeration,7.38778,3.89639,1950,450.111
137,Africa,566,Nigeria,21991,Ife,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,7.477328,4.558853,1950,107.334
138,Africa,566,Nigeria,206381,Igbidu,"Estimates for 1990, 2000 and 2010.",Urban Agglomeration,6.068322,8.116942,1950,90.641
139,Africa,566,Nigeria,21992,Ijebu-Ode,"Estimates for 1950, 1960, 1970, 1980, 1990, 2000 and 2010.",City Proper,6.81609,3.91588,1950,26.22
140,Africa,566,Nigeria,23537,Ikorodu,"Census of 1991; Estimates for 1950, 1960, 1970, 1980, 2000 and 2010.",City Proper,6.608716,3.510823,1950,8.645
141,Africa,566,Nigeria,21995,Ikot Ekpene,Censuses of 1963 and 1991.,City Proper,5.17938,7.71082,1950,22.127
142,Africa,566,Nigeria,21997,Ilesha,"Census of 1953; Estimates for 1960, 1970, 1980, 1990, 2000 and 2010.",City Proper,7.61667,4.73333,1950,63.299
143,Africa,566,Nigeria,21998,Ilorin,"Censuses of 1963, 1991 and 2006; UN Estimate for 1983.",Urban Agglomeration,8.5,4.55,1950,113.565
144,Africa,566,Nigeria,22003,Jos,"Censuses of 1953, 1963, 1991 and 2006; UN Estimate for 1983.",Urban Agglomeration,9.91667,8.9,1950,31.495
145,Africa,566,Nigeria,22004,Kaduna,"Censuses of 1953 and 1963; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,10.52224,7.43828,1950,34.712
146,Africa,566,Nigeria,22005,Kano,"Censuses of 1953, 1963, 1991 and 2006; UN Estimate for 1983.",Urban Agglomeration,12.00012,8.51672,1950,123.073
147,Africa,566,Nigeria,22006,Katsina,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,12.98943,7.60063,1950,45.249
148,Africa,566,Nigeria,206385,Lafia,"Estimates for 1950, 1960, 1970, 1980, 1990, 2000 and 2010.",Urban Agglomeration,8.48333,8.51667,1950,9.12
149,Africa,566,Nigeria,22007,Lagos,"Censuses of 1953, 1963, 1991 and 2006; Estimates for 1971 and 2015.",Urban Agglomeration,6.45306,3.39583,1950,325.218
150,Africa,566,Nigeria,206383,Lokoja,"Estimates for 1950, 1960, 1970, 1980, 1990, 2000 and 2010.",Urban Agglomeration,7.80236,6.743,1950,12.065
151,Africa,566,Nigeria,22008,Maiduguri,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,11.84644,13.16027,1950,49.774
152,Africa,566,Nigeria,23539,Makurdi,Censuses of 1963 and 1991; Estimate for 2010.,City Proper,7.7411,8.5121,1950,33.055
153,Africa,566,Nigeria,23540,Minna,Censuses of 1963 and 1991; Estimate for 2010; UN Estimate for 1983.,Urban Agglomeration,9.61389,6.55694,1950,31.165
154,Africa,566,Nigeria,23542,Nnewi,"Estimates for 1960, 1970, 1980, 1990 and 2000.",City Proper,6.01986,6.91478,1950,3.181
155,Africa,566,Nigeria,22009,Ogbomosho,"Estimates for 1950, 1960, 1970, 1980, 1990, 2000 and 2010.",City Proper,8.132406,4.243307,1950,132.558
156,Africa,566,Nigeria,22010,Okene,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,7.550727,6.233654,1950,31.643
157,Africa,566,Nigeria,22011,Okpogho,Census of 1991; UN Estimate for 1953.,City Proper,6.440393,7.284425,1950,13.206
158,Africa,566,Nigeria,22012,Ondo,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,7.1,4.83333,1950,31.131
159,Africa,566,Nigeria,22013,Onitsha,"Censuses of 1953, 1963, 1991 and 2006.",Urban Agglomeration,6.14543,6.78845,1950,74.437
160,Africa,566,Nigeria,22014,Oshogbo,"Censuses of 1953, 1963 and 1991; Estimate for 2010.",Urban Agglomeration,7.76667,4.56667,1950,114.341
161,Africa,566,Nigeria,22015,Owerri,"Estimates for 1960, 1970, 1980, 1990, 2000 and 2010.",City Proper,5.48333,7.03041,1950,11.518
162,Africa,566,Nigeria,22017,Oyo,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,7.85,3.93333,1950,68.785
163,Africa,566,Nigeria,22018,Port Harcourt,"Censuses of 1953, 1963, 1991 and 2006; UN Estimate for 1983.",Urban Agglomeration,4.77742,7.0134,1950,59.752
164,Africa,566,Nigeria,206386,Potiskum,"Estimates for 1950, 1960, 1970, 1980, 1990, 2000 and 2010.",Urban Agglomeration,11.7091,11.0694,1950,13.965
165,Africa,566,Nigeria,22020,Saki,Censuses of 1953 and 1991; Estimate for 2010.,City Proper,8.66667,3.38333,1950,21.042
166,Africa,566,Nigeria,22021,Sokoto,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",City Proper,13.06092,5.23902,1950,43.108
167,Africa,566,Nigeria,22022,Umuahia,Censuses of 1963 and 1991.,City Proper,5.52627,7.48959,1950,13.255
